Defecator,Class,Order,Family,Genus,Species,CommonName,PreyGroup,FOO,wPOO
Bobcat,Mammalia,Rodentia,Aplodontiidae,Aplodontia,Aplodontia rufa,Mountain beaver,MammalsMedium,0.63,1.03
Bobcat,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus,Long-tailed vole,MammalsSmall,5.66,4.12
Bobcat,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma cinerea,Bushy-tailed woodrat,MammalsSmall,1.26,1.03
Bobcat,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma macrotis,Big-eared woodrat,MammalsSmall,1.26,0.86
Bobcat,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus sp.,Mouse species,MammalsSmall,5.66,4.81
Bobcat,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,Golden-mantled ground squirrel,MammalsMedium,23.27,24.31
Bobcat,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,Northern flying squirrel,MammalsSmall,1.26,1.55
Bobcat,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris,Yellow-bellied marmot,MammalsMedium,15.09,17.53
Bobcat,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus griseus,Grey squirrel,MammalsMedium,1.26,0.86
Bobcat,Mammalia,Rodentia,Sciuridae,Tamias,Tamias amoenus,Yellow-pine chipmunk,MammalsSmall,6.92,5.76
Bobcat,Mammalia,Rodentia,Sciuridae,Tamias,Tamias sp.,Chipmunk species,MammalsSmall,3.77,3.95
Bobcat,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus douglasii,Douglas' squirrels,MammalsSmall,16.35,17.53
Cougar,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus,Sooty grouse,BirdsMedium,0.96,0.50
Cougar,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,Mule deer,MammalsLarge,75.96,78.00
Cougar,Mammalia,Carnivora,Canidae,Canis,Canis latrans,Coyote,MammalsLarge,0.96,1.00
Cougar,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,Gray fox,MammalsMedium,1.92,1.50
Cougar,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,American black bear,MammalsLarge,3.85,4.00
Cougar,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,Snowshoe hare,MammalsMedium,1.92,1.50
