"labid.y","speciesid_osu","speciessimpleidgroomed.y","species","genus","family","order","class","phylum","reps","numreads","totalreads","pidmatch","lineage","scatseason"
"YOS1135","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,17806,8903,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1135","Canis latrans","Oncorhynchus sp.","","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,8903,8903,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,","summer"
"YOS1136","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,19424,9712,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1136","Canis latrans","Passeriformes","","","","Passeriformes","Aves","Chordata",3,9712,9712,100,"Chordata,Aves,Passeriformes","summer"
"YOS1136","Canis latrans","Peromyscus sp.","","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,9712,9712,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,","summer"
"YOS1136","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",3,9712,9712,100,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS1137","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,31768,7942,98.745,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS1138","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,26890,13445,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1140","Canis latrans","Oncorhynchus sp.","","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",6,55780,27890,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,","summer"
"YOS1141","Canis latrans","Junco hyemalis","Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata",3,21758,21758,100,"Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis","summer"
"YOS1142","Canis latrans","Junco hyemalis","Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata",3,10100,10100,100,"Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis","summer"
"YOS1142","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,40400,10100,98.245,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS1145","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",2,305,305,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus","summer"
"YOS1146","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,14212,7106,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1147","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,47704,23852,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1148","Canis latrans","Ochotona princeps","Ochotona princeps","Ochotona","Ochotonidae","Lagomorpha","Mammalia","Chordata",3,24504,24504,100,"Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps","summer"
"YOS1148","Canis latrans","Peromyscus sp.","","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,24504,24504,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,","summer"
"YOS1149","Lynx rufus","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,119800,59900,98.99,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS1149","Lynx rufus","Neotoma cinerea","Neotoma cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata",3,59900,59900,100,"Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma cinerea","summer"
"YOS1150","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,433,433,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS1150","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",3,433,433,100,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
